"sep=,"
Tyrimo_failai/Diffusion_simple_math_problems(50)/Simple_math_problems.txt
Target file,Tyrimo_failai/Diffusion_simple_math_problems(50)/Gemini_Answers_2024_05_21_10_07_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,77.36,42.77,94.40,87.64,75.73,77.27,75.94,82.14,82.14,78.18,78.18,85.91
Averages,71.47,44.60,58.13,78.81,64.78,67.83,71.68,77.00,77.00,74.03,74.03,84.92
1,90.91,37.50,54.77,96.36,88.24,92.86,88.89,94.44,94.44,94.44,94.44,97.78
2,88.00,50.00,66.67,84.87,72.22,73.33,85.00,89.47,89.47,85.00,85.00,95.89
3,78.57,37.50,54.77,89.03,83.72,80.00,86.96,88.89,88.89,86.96,86.96,92.62
4,76.00,37.50,54.77,79.12,66.67,65.00,71.43,78.05,78.05,76.19,76.19,91.24
5,85.19,50.00,66.67,93.33,80.00,87.50,86.36,90.48,90.48,86.36,86.36,93.79
6,46.15,40.00,57.74,50.71,47.06,33.33,50.00,63.16,63.16,60.00,60.00,75.56
7,52.63,28.57,33.81,63.96,50.00,46.15,53.33,61.54,61.54,53.33,53.33,75.35
8,72.00,66.67,81.65,77.15,68.57,62.50,70.00,81.08,81.08,75.00,75.00,92.65
9,68.00,37.50,49.24,76.28,64.71,61.54,66.67,77.78,77.78,77.78,77.78,92.00
10,62.50,20.00,27.22,84.62,44.44,73.33,65.00,73.68,73.68,70.00,70.00,82.67
11,67.86,37.50,54.77,68.60,59.09,52.17,60.87,65.22,65.22,65.22,65.22,86.09
12,72.41,44.44,61.72,84.89,59.09,73.68,69.57,78.26,78.26,78.26,78.26,86.65
13,82.14,55.56,71.43,87.67,71.43,77.78,86.36,86.36,86.36,86.36,86.36,90.91
14,88.89,62.50,77.15,93.54,76.92,87.50,86.36,92.68,92.68,86.36,86.36,97.27
15,71.43,57.14,73.03,83.62,55.17,71.43,64.71,77.42,77.42,70.59,70.59,92.33
16,85.71,75.00,85.71,87.67,76.19,77.78,86.96,90.91,90.91,86.96,86.96,94.06
17,45.45,12.50,22.36,59.63,19.35,42.11,42.11,48.48,48.48,42.11,42.11,66.42
