"sep=,"
Tyrimo_failai/GPT4_math_quiz(50)/Math_quiz.txt
Target file,Tyrimo_failai/GPT4_math_quiz(50)/GPT4o_Answers_2024_05_20_18_34_11.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,49.97,23.85,95.89,77.71,65.80,61.02,52.82,66.13,66.13,60.09,60.09,72.41
Averages,48.35,36.63,61.15,86.37,48.41,76.41,52.67,64.99,64.99,58.94,58.94,75.12
1,62.96,52.63,90.77,91.75,47.46,84.62,59.09,68.33,68.33,62.12,62.12,68.17
2,46.48,30.43,56.41,89.60,36.73,80.95,55.36,66.00,66.00,58.93,58.93,82.55
3,48.81,36.00,57.74,90.48,43.20,82.61,54.29,66.14,66.14,60.00,60.00,79.24
4,49.44,29.63,50.85,92.71,41.67,86.36,45.83,59.02,59.02,50.00,50.00,83.23
5,60.29,42.86,69.31,87.71,58.25,76.92,56.36,70.48,70.48,67.27,67.27,85.30
6,56.76,50.00,91.61,95.35,58.72,90.91,71.19,77.48,77.48,72.88,72.88,79.82
7,61.25,47.37,83.98,86.36,56.69,76.00,62.32,72.87,72.87,68.12,68.12,80.75
8,50.00,40.00,72.73,83.93,38.38,72.00,49.06,65.35,65.35,62.26,62.26,84.81
9,63.33,56.52,72.22,91.30,58.70,84.00,70.21,78.72,78.72,78.72,78.72,82.59
10,62.92,28.57,44.44,89.54,47.55,80.77,57.14,66.21,66.21,62.34,62.34,83.34
11,42.71,37.50,61.98,87.81,51.47,77.78,47.30,66.67,66.67,62.16,62.16,74.41
12,38.71,26.92,60.68,75.42,48.82,59.26,48.05,62.02,62.02,51.95,51.95,66.53
13,40.58,35.00,64.61,80.18,42.11,66.67,49.12,59.79,59.79,50.88,50.88,75.67
14,50.00,47.37,84.15,82.73,50.88,69.57,47.54,63.79,63.79,60.66,60.66,83.16
15,64.71,42.11,85.34,93.25,62.14,86.96,64.15,70.48,70.48,69.81,69.81,87.88
16,33.33,25.93,45.83,82.69,41.43,70.37,46.15,60.56,60.56,55.13,55.13,67.55
17,40.68,25.00,45.64,82.69,37.58,70.37,37.50,49.10,49.10,39.42,39.42,64.00
18,54.81,39.29,55.94,95.74,61.84,91.67,52.94,67.53,67.53,61.18,61.18,84.82
19,40.00,11.11,24.25,73.19,52.31,57.69,49.30,63.64,63.64,59.15,59.15,68.83
20,44.04,46.43,65.65,85.73,54.55,75.00,53.95,65.67,65.67,57.89,57.89,75.70
21,43.16,31.82,79.13,72.17,38.46,55.56,41.67,54.55,54.55,42.86,42.86,59.89
22,43.18,44.44,57.79,94.93,59.85,90.32,61.97,76.26,76.26,74.65,74.65,82.34
23,53.23,26.09,37.57,88.04,44.21,78.26,61.54,76.29,76.29,71.15,71.15,69.14
24,41.46,27.59,43.39,90.48,52.38,82.61,59.72,70.31,70.31,62.50,62.50,76.03
25,28.57,34.48,46.19,95.35,36.36,90.91,36.14,50.75,50.75,40.96,40.96,65.75
26,58.43,40.00,49.00,90.21,51.85,82.14,60.81,71.53,71.53,66.22,66.22,77.33
27,56.67,42.86,57.21,92.34,57.73,85.71,62.26,72.73,72.73,67.92,67.92,73.66
28,54.55,30.43,48.60,91.39,56.30,84.00,57.69,71.53,71.53,62.82,62.82,83.65
29,31.20,22.73,88.88,83.74,26.51,72.00,33.33,47.62,47.62,35.09,35.09,61.31
30,60.87,52.94,86.65,95.00,74.55,90.48,62.50,76.79,76.79,76.79,76.79,90.31
31,54.26,21.43,35.29,93.36,67.14,87.50,67.95,74.65,74.65,67.95,67.95,82.21
32,52.05,33.33,75.91,74.60,43.64,59.26,51.67,64.29,64.29,60.00,60.00,63.89
33,40.32,44.44,78.55,89.38,34.29,80.77,44.64,57.94,57.94,55.36,55.36,69.82
34,40.00,18.52,34.41,79.39,41.44,65.22,45.76,56.64,56.64,54.24,54.24,64.22
35,36.69,8.57,13.47,83.33,35.58,71.43,39.42,52.12,52.12,41.35,41.35,68.11
36,51.52,47.06,84.35,92.58,59.41,85.71,63.64,75.73,75.73,70.91,70.91,80.93
37,38.98,46.67,44.10,72.85,37.33,55.00,41.67,54.55,54.55,43.75,43.75,62.70
38,24.53,35.29,87.52,70.50,22.22,54.17,30.61,50.00,50.00,46.94,46.94,69.49
39,44.79,47.37,83.90,73.25,53.78,56.52,44.00,56.20,56.20,45.33,45.33,68.66
40,54.95,29.03,45.51,88.72,48.48,79.31,51.85,64.18,64.18,53.09,53.09,78.56
41,44.68,34.62,55.70,88.40,40.98,79.17,45.00,58.06,58.06,45.00,45.00,69.18
42,54.67,43.48,61.56,88.07,52.17,78.57,68.85,75.21,75.21,72.13,72.13,80.43
43,34.69,22.22,36.11,89.09,41.98,80.00,39.05,52.44,52.44,40.95,40.95,66.25
44,37.33,20.83,61.83,73.68,30.19,58.33,38.60,53.70,53.70,50.88,50.88,62.20
45,64.79,50.00,66.77,95.74,66.06,91.67,74.58,81.08,81.08,76.27,76.27,89.58
