"sep=,"
Tyrimo_failai/GPT4_math_quiz(50)/Math_quiz.txt
Target file,Tyrimo_failai/GPT4_math_quiz(50)/Gemini_Answers_2024_05_21_10_07_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,50.38,24.66,96.42,87.80,67.21,77.08,53.39,66.66,66.66,61.11,61.11,73.00
Averages,48.50,38.20,62.51,87.29,48.77,77.89,53.08,65.37,65.37,59.56,59.56,75.98
1,68.83,61.11,91.83,93.90,52.17,88.46,65.08,71.79,71.79,66.67,66.67,87.95
2,47.06,29.17,48.90,89.60,40.82,80.95,55.36,66.00,66.00,58.93,58.93,68.30
3,46.84,36.00,56.13,95.12,43.55,90.48,52.17,65.08,65.08,59.42,59.42,76.01
4,47.83,29.63,50.85,92.71,41.67,86.36,45.83,59.02,59.02,50.00,50.00,83.23
5,58.82,42.86,69.31,87.71,57.69,76.92,54.55,69.81,69.81,67.27,67.27,84.98
6,61.11,50.00,91.07,95.35,60.19,90.91,75.47,81.90,81.90,81.13,81.13,84.77
7,66.28,64.71,89.58,90.91,62.50,83.33,65.71,75.38,75.38,70.00,70.00,86.87
8,50.85,40.00,72.73,87.21,46.32,77.27,51.02,68.04,68.04,67.35,67.35,85.24
9,54.24,60.87,75.70,88.91,46.15,80.00,63.83,70.97,70.97,70.21,70.21,77.45
10,59.38,33.33,51.43,95.92,51.75,92.00,58.44,67.59,67.59,63.64,63.64,85.56
11,41.18,36.00,55.00,85.88,49.28,75.00,46.05,64.29,64.29,59.21,59.21,69.64
12,39.42,29.17,83.97,82.30,47.24,69.57,48.05,62.02,62.02,51.95,51.95,65.74
13,39.13,42.11,69.99,82.16,46.32,69.23,50.88,61.86,61.86,52.63,52.63,77.20
14,44.29,47.37,84.33,77.56,38.53,62.50,41.07,57.66,57.66,57.14,57.14,83.17
15,61.76,42.11,82.77,93.36,60.78,87.50,62.26,69.23,69.23,67.92,67.92,86.37
16,37.63,25.93,47.92,86.72,41.13,76.00,45.57,60.14,60.14,54.43,54.43,66.09
17,38.40,24.24,45.83,82.69,38.04,70.37,38.24,49.70,49.70,40.20,40.20,64.35
18,47.17,39.29,55.94,93.64,60.93,88.00,53.57,67.97,67.97,61.90,61.90,77.98
19,37.35,10.71,23.57,73.19,51.97,57.69,47.06,63.57,63.57,60.29,60.29,70.52
20,45.45,46.43,65.65,89.81,56.06,81.48,55.26,67.16,67.16,59.21,59.21,78.19
21,46.67,31.82,80.75,70.71,40.32,53.57,44.87,57.14,57.14,46.15,46.15,61.49
22,42.39,44.44,57.79,94.93,58.82,90.32,62.86,76.81,76.81,75.71,75.71,82.68
23,51.47,26.09,37.57,88.04,43.75,78.26,60.38,75.51,75.51,69.81,69.81,68.70
24,44.19,40.74,59.41,92.71,54.84,86.36,61.43,71.43,71.43,64.29,64.29,73.47
25,29.55,34.48,49.07,93.05,35.38,86.96,37.04,51.52,51.52,41.98,41.98,66.96
26,57.30,40.00,49.00,88.46,51.47,79.31,60.00,71.01,71.01,65.33,65.33,77.04
27,60.87,42.86,57.21,92.34,54.55,85.71,61.82,71.29,71.29,65.45,65.45,85.08
28,56.52,30.43,53.24,91.39,58.21,84.00,58.44,72.06,72.06,63.64,63.64,83.83
29,36.13,22.73,89.23,83.74,30.77,72.00,39.56,56.55,56.55,45.05,45.05,66.26
30,60.53,42.11,82.08,95.00,76.79,90.48,63.79,77.19,77.19,75.86,75.86,90.31
31,50.00,21.43,35.29,95.65,62.41,91.67,64.56,72.73,72.73,65.82,65.82,81.42
32,47.50,25.00,70.16,73.03,45.05,57.14,52.46,65.49,65.49,60.66,60.66,66.82
33,41.43,47.37,79.58,86.96,34.29,76.92,42.86,56.07,56.07,53.57,53.57,82.05
34,46.15,18.52,34.41,84.52,40.74,71.43,48.21,56.36,56.36,55.36,55.36,65.37
35,39.02,8.57,13.47,83.33,35.22,71.43,39.00,53.42,53.42,43.00,43.00,69.11
36,50.00,56.25,87.36,90.11,63.27,81.82,65.45,78.00,78.00,70.91,70.91,83.75
37,45.76,46.67,44.10,69.99,37.33,52.38,41.67,54.55,54.55,43.75,43.75,62.70
38,27.59,35.29,87.52,72.67,22.22,56.52,30.61,50.00,50.00,46.94,46.94,69.49
39,44.79,47.37,83.90,73.25,53.78,56.52,44.00,56.20,56.20,45.33,45.33,68.66
40,46.49,33.33,50.57,90.35,48.89,82.14,50.00,61.31,61.31,50.00,50.00,83.50
41,42.00,38.46,59.63,88.40,42.28,79.17,44.44,57.60,57.60,44.44,44.44,68.55
42,59.21,50.00,66.69,89.81,51.79,81.48,68.97,75.44,75.44,74.14,74.14,77.37
43,36.81,21.62,35.86,89.09,42.50,80.00,40.78,54.32,54.32,42.72,42.72,66.89
44,37.66,20.83,61.83,76.95,29.91,62.50,37.93,55.05,55.05,51.72,51.72,63.47
45,69.33,56.52,72.33,97.89,72.22,95.83,74.58,83.64,83.64,77.97,77.97,88.36
46,52.31,70.59,82.69,85.11,59.34,73.91,55.10,68.82,68.82,65.31,65.31,73.50
47,42.86,30.43,48.61,93.36,51.06,87.50,50.00,64.34,64.34,63.89,63.89,85.40
48,53.68,34.48,51.71,93.90,61.22,88.46,64.20,73.83,73.83,67.90,67.90,79.46
49,44.87,42.86,64.55,79.39,27.66,65.22,43.10,52.08,52.08,43.10,43.10,61.07
50,68.97,57.89,67.36,95.65,59.34,91.67,70.21,79.57,79.57,78.72,78.72,86.70
