"sep=,"
Tyrimo_failai/GPT4_simple_math_problems(50)/Simple_math_problems.txt
Target file,Tyrimo_failai/GPT4_simple_math_problems(50)/GPT4o_Answers_2024_05_22_17_56_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,67.42,64.71,89.26,83.67,71.64,70.00,71.69,80.41,80.41,79.36,79.36,85.41
Averages,60.17,53.69,66.71,81.82,59.14,71.64,67.53,74.57,74.57,70.71,70.71,83.69
1,40.00,71.43,83.33,78.57,57.14,64.71,63.16,70.27,70.27,68.42,68.42,83.30
2,34.62,50.00,66.67,92.86,80.00,86.67,86.36,90.48,90.48,86.36,86.36,91.25
3,77.78,83.33,91.29,83.46,73.17,71.43,78.26,83.72,83.72,78.26,78.26,93.65
4,88.46,100.00,100.00,91.93,73.17,85.00,86.36,88.37,88.37,86.36,86.36,94.23
5,92.86,71.43,83.33,96.82,93.02,93.75,95.65,97.78,97.78,95.65,95.65,98.55
6,69.23,60.00,75.00,88.19,60.00,77.78,75.00,81.82,81.82,75.00,75.00,90.67
7,47.37,100.00,100.00,90.91,71.43,83.33,86.67,86.67,86.67,86.67,86.67,92.00
8,92.00,71.43,83.33,96.61,86.49,93.33,90.00,92.31,92.31,90.00,90.00,96.95
9,42.86,22.22,45.29,76.28,19.35,61.54,44.44,54.55,54.55,50.00,50.00,73.00
10,50.00,100.00,100.00,92.31,70.27,85.71,85.00,87.18,87.18,85.00,85.00,92.34
11,67.65,62.50,77.15,86.52,65.31,76.19,67.86,78.43,78.43,71.43,71.43,91.68
12,90.00,100.00,100.00,90.95,82.61,83.33,88.00,91.67,91.67,88.00,88.00,96.73
13,92.59,100.00,100.00,93.33,90.48,87.50,95.45,95.45,95.45,95.45,95.45,96.97
14,88.89,62.50,77.15,93.75,85.71,88.24,90.91,95.45,95.45,95.45,95.45,96.97
15,95.24,100.00,100.00,92.31,87.50,85.71,94.12,94.12,94.12,94.12,94.12,97.65
16,48.28,40.00,57.14,97.01,88.89,94.12,91.67,93.62,93.62,91.67,91.67,89.38
