"sep=,"
Tyrimo_failai/GPT4_simple_math_problems(50)/Simple_math_problems.txt
Target file,Tyrimo_failai/GPT4_simple_math_problems(50)/Gemini_Answers_2024_05_22_17_56_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,68.41,67.68,92.16,83.67,72.38,70.00,72.19,80.84,80.84,79.45,79.45,85.71
Averages,62.11,58.18,70.40,82.42,61.24,72.39,68.63,75.35,75.35,71.59,71.59,84.65
1,39.13,71.43,83.33,78.57,57.14,64.71,63.16,70.27,70.27,68.42,68.42,83.30
2,34.62,50.00,66.67,92.86,80.00,86.67,86.36,90.48,90.48,86.36,86.36,91.25
3,77.78,83.33,91.29,83.46,71.43,71.43,78.26,81.82,81.82,78.26,78.26,92.80
4,85.19,100.00,100.00,91.93,73.17,85.00,86.36,88.37,88.37,86.36,86.36,94.23
5,96.30,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
6,80.00,60.00,75.00,83.67,60.00,70.00,75.00,81.82,81.82,75.00,75.00,90.67
7,47.37,100.00,100.00,90.91,71.43,83.33,86.67,86.67,86.67,86.67,86.67,92.00
8,92.59,100.00,100.00,96.61,97.44,93.33,95.24,97.56,97.56,95.24,95.24,99.05
9,38.10,25.00,47.14,76.28,19.35,61.54,44.44,54.55,54.55,50.00,50.00,73.00
10,54.17,62.50,84.33,92.31,63.16,85.71,80.00,85.00,85.00,85.00,85.00,91.00
11,71.88,62.50,77.15,86.52,66.67,76.19,70.37,80.00,80.00,74.07,74.07,92.21
12,93.10,100.00,100.00,93.75,84.44,88.24,91.67,93.62,93.62,91.67,91.67,97.46
13,89.29,100.00,100.00,90.37,88.37,82.35,91.30,93.33,93.33,91.30,91.30,95.59
14,92.59,62.50,77.15,96.82,92.68,93.75,95.45,97.67,97.67,95.45,95.45,98.48
15,90.91,100.00,100.00,92.31,87.50,85.71,94.12,94.12,94.12,94.12,94.12,97.65
16,42.86,75.00,85.71,88.24,81.82,78.95,91.30,91.30,91.30,91.30,91.30,94.78
17,45.45,28.57,44.72,51.64,28.57,33.33,42.11,53.33,53.33,42.11,42.11,77.29
18,78.26,57.14,73.03,86.86,66.67,76.47,73.68,80.00,80.00,73.68,73.68,92.24
19,45.83,25.00,62.50,64.45,26.32,47.37,47.62,55.00,55.00,52.38,52.38,67.06
20,26.32,57.14,79.06,77.02,28.57,61.11,25.81,45.45,45.45,32.26,32.26,67.28
21,83.33,20.00,33.33,94.28,77.78,88.89,80.00,90.00,90.00,90.00,90.00,96.00
22,78.95,33.33,51.64,87.71,74.07,76.92,81.25,89.66,89.66,81.25,81.25,96.25
23,75.00,22.22,36.51,90.37,51.43,82.35,70.00,81.08,81.08,75.00,75.00,87.31
24,91.30,71.43,83.33,90.37,77.78,82.35,89.47,89.47,89.47,89.47,89.47,95.79
25,76.00,44.44,61.72,93.33,63.16,87.50,76.19,85.00,85.00,80.95,80.95,88.79
26,84.62,66.67,80.00,92.20,87.18,85.00,86.36,92.68,92.68,86.36,86.36,95.45
27,60.00,50.00,66.67,84.89,55.00,73.68,63.64,66.67,66.67,63.64,63.64,85.30
28,70.97,62.50,77.15,88.39,61.90,78.95,73.91,81.82,81.82,78.26,78.26,92.80
29,80.95,75.00,86.60,86.86,78.79,76.47,83.33,85.71,85.71,83.33,83.33,90.52
30,29.27,37.50,59.63,75.38,52.00,60.00,48.48,61.54,61.54,48.48,48.48,75.12
31,12.00,22.22,36.51,42.01,21.62,26.09,4.76,35.90,35.90,33.33,33.33,50.53
32,63.64,66.67,87.50,77.46,55.56,63.16,63.16,73.68,73.68,73.68,73.68,82.46
