"sep=,"
Tyrimo_failai/GPT4_text_problems(50)/Text_problems.txt
Target file,Tyrimo_failai/GPT4_text_problems(50)/GPT4o_Answers_2024_05_20_18_34_11.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,56.08,48.98,92.12,87.14,87.46,75.93,66.69,79.63,79.63,79.34,79.34,88.96
Averages,59.68,56.22,73.88,96.04,74.77,92.46,69.84,80.27,80.27,76.24,76.24,87.08
1,82.48,59.26,82.20,97.89,81.55,95.83,83.49,89.42,89.42,85.32,85.32,90.31
2,65.49,55.00,73.16,89.87,66.27,80.77,65.96,78.36,78.36,71.28,71.28,89.44
3,90.22,55.56,84.07,95.65,87.67,91.67,90.67,93.24,93.24,92.00,92.00,95.13
4,54.17,50.00,75.41,97.80,72.48,95.65,56.14,70.00,70.00,67.54,67.54,87.93
5,64.52,54.55,76.64,92.59,69.20,86.21,63.16,74.72,74.72,65.13,65.13,86.29
6,59.29,46.15,69.66,92.58,76.19,85.71,58.43,75.29,75.29,71.91,71.91,86.60
7,66.25,46.88,68.36,90.71,70.25,82.76,66.67,77.05,77.05,72.87,72.87,87.66
8,82.64,75.00,89.60,96.23,86.77,92.59,84.69,91.10,91.10,88.78,88.78,88.93
9,18.72,26.67,57.46,96.23,56.57,92.59,47.62,64.82,64.82,55.78,55.78,75.50
10,19.72,54.84,70.73,96.23,70.71,92.59,55.81,72.91,72.91,63.37,63.37,80.17
11,64.75,51.61,73.42,100.00,77.98,100.00,66.07,79.09,79.09,77.68,77.68,88.68
12,72.45,56.52,78.78,97.70,79.74,95.45,71.79,83.87,83.87,83.33,83.33,88.84
13,58.94,53.85,80.74,97.98,71.29,96.00,60.83,73.53,73.53,62.50,62.50,86.61
14,72.03,46.15,76.07,98.06,72.62,96.15,70.97,82.35,82.35,75.27,75.27,87.23
15,82.29,65.22,83.15,95.74,85.14,91.67,81.58,89.33,89.33,88.16,88.16,92.91
16,59.33,73.08,77.27,96.15,71.37,92.59,58.87,74.07,74.07,72.58,72.58,86.37
17,60.11,57.14,79.42,92.38,69.11,85.71,57.64,71.77,71.77,61.81,61.81,86.42
18,11.46,62.86,74.54,98.20,79.48,96.43,62.66,75.08,75.08,73.42,73.42,82.72
19,78.34,53.57,81.51,98.20,81.51,96.43,78.91,85.83,85.83,80.47,80.47,90.53
20,80.14,66.67,80.24,98.13,83.19,96.30,81.36,87.72,87.72,84.75,84.75,89.88
21,62.79,47.83,69.65,93.64,70.47,88.00,62.14,73.85,73.85,69.90,69.90,88.19
22,57.14,40.00,63.17,95.74,67.00,91.67,60.19,73.17,73.17,72.82,72.82,84.96
23,91.43,100.00,100.00,100.00,94.34,100.00,96.43,98.18,98.18,96.43,96.43,99.29
24,80.51,72.22,93.64,97.59,84.34,95.24,87.06,90.48,90.48,89.41,89.41,88.62
25,78.31,84.21,93.34,97.89,86.15,95.83,81.88,89.31,89.31,84.78,84.78,88.79
26,72.22,61.54,78.26,96.08,77.37,92.31,71.97,82.45,82.45,76.52,76.52,88.59
27,52.08,24.07,52.64,78.51,63.64,62.50,60.85,74.70,74.70,65.61,65.61,78.00
28,68.85,58.33,75.17,100.00,72.73,100.00,69.39,79.78,79.78,72.45,72.45,87.01
29,56.74,44.12,65.18,96.36,68.18,92.86,53.91,71.17,71.17,68.70,68.70,87.84
30,62.90,42.86,57.25,93.64,65.95,88.00,65.69,78.07,78.07,71.57,71.57,87.04
31,15.60,76.00,88.59,98.20,82.35,96.43,75.65,84.30,84.30,81.74,81.74,88.35
32,25.00,69.23,76.47,95.24,70.10,90.91,76.00,84.85,84.85,84.00,84.00,84.13
33,84.62,71.43,73.99,100.00,77.23,100.00,83.02,85.44,85.44,83.02,83.02,91.87
34,77.42,60.00,80.18,100.00,83.51,100.00,78.10,86.73,86.73,80.95,80.95,90.78
35,86.17,61.90,75.42,100.00,84.00,100.00,86.84,92.11,92.11,92.11,92.11,87.98
36,85.54,57.89,72.22,96.30,86.57,92.86,88.41,92.65,92.65,91.30,91.30,90.24
37,85.88,66.67,83.33,98.06,91.18,96.15,90.00,94.20,94.20,92.86,92.86,90.92
38,87.84,61.11,68.88,97.70,81.03,95.45,86.67,88.14,88.14,86.67,86.67,90.28
39,18.38,50.00,77.26,94.56,61.46,89.66,53.77,64.95,64.95,59.43,59.43,77.91
40,69.44,53.85,67.22,97.98,74.70,96.00,70.11,79.76,79.76,77.01,77.01,88.92
41,14.77,48.39,76.38,97.89,71.03,95.83,61.16,73.15,73.15,65.29,65.29,81.92
42,62.04,44.12,50.67,96.30,67.63,92.86,60.91,76.56,76.56,72.73,72.73,87.35
43,64.81,54.55,69.52,93.64,71.35,88.00,65.17,78.61,78.61,76.40,76.40,88.41
44,19.66,73.08,78.89,94.75,77.60,90.00,75.27,84.32,84.32,83.87,83.87,80.08
45,69.72,69.57,74.23,96.00,67.92,92.31,69.32,79.50,79.50,72.73,72.73,88.06
46,61.18,62.86,77.75,93.16,71.16,87.10,63.77,76.58,76.58,74.64,74.64,88.34
47,18.40,50.00,70.91,97.98,70.94,96.00,70.09,78.05,78.05,74.77,74.77,80.06
48,7.14,25.00,51.36,97.89,61.32,95.83,59.26,73.83,73.83,73.15,73.15,79.85
49,45.21,30.56,40.82,95.92,62.78,92.00,47.46,67.56,67.56,64.41,64.41,86.40
50,58.64,38.89,59.18,92.66,65.22,86.21,58.33,71.55,71.55,62.88,62.88,85.52
