"sep=,"
Tyrimo_failai/GPT4_text_problems_with_missing_numbers(50)/Text_problems_with_missing_numbers.txt
Target file,Tyrimo_failai/GPT4_text_problems_with_missing_numbers(50)/GPT4o_Answers_2024_05_20_19_34_49.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,24.89,20.18,79.83,65.90,75.64,43.43,35.07,55.03,55.03,52.89,52.89,85.50
Averages,28.59,28.57,55.83,87.04,57.89,76.86,39.25,56.75,56.75,51.88,51.88,77.80
1,10.31,24.39,59.28,84.05,60.14,72.22,32.53,54.26,54.26,52.94,52.94,77.30
2,39.93,38.00,71.90,91.24,66.67,83.87,38.63,58.65,58.65,52.36,52.36,84.77
3,63.72,56.41,82.12,92.38,75.08,85.71,64.94,77.23,77.23,67.24,67.24,87.99
4,53.91,52.27,76.21,93.10,72.25,87.10,52.46,69.54,69.54,66.12,66.12,87.88
5,34.62,34.55,60.50,92.17,56.45,85.29,35.47,55.69,55.69,43.40,43.40,69.68
6,53.13,29.17,67.93,90.05,62.76,81.82,53.22,68.02,68.02,57.51,57.51,84.31
7,13.41,17.65,38.60,88.15,50.79,78.79,35.68,56.84,56.84,54.27,54.27,78.50
8,12.47,18.95,51.83,88.63,56.63,79.41,33.60,50.75,50.75,45.80,45.80,78.28
9,42.19,31.58,67.80,87.40,67.67,77.42,48.05,65.67,65.67,57.14,57.14,76.81
10,14.44,28.79,64.61,86.58,64.72,76.32,39.05,59.08,59.08,58.10,58.10,79.96
11,11.88,44.90,56.55,90.00,69.16,81.82,53.09,70.59,70.59,70.37,70.37,78.28
12,18.14,30.77,55.03,87.83,60.59,77.14,52.36,66.67,66.67,65.45,65.45,79.28
13,36.34,21.13,46.09,89.56,48.18,81.08,38.14,53.23,53.23,45.36,45.36,68.13
14,12.35,10.00,36.25,80.23,42.56,65.12,25.53,44.02,44.02,41.95,41.95,68.82
15,16.37,35.71,58.95,80.00,52.32,66.67,48.15,62.76,62.76,55.56,55.56,69.67
16,45.39,39.02,83.33,89.13,63.54,80.00,48.26,65.28,65.28,54.78,54.78,76.44
17,13.16,24.62,56.24,77.78,56.78,63.16,46.95,60.50,60.50,56.81,56.81,75.45
18,39.22,25.88,55.37,90.51,58.82,82.35,42.91,59.80,59.80,55.22,55.22,77.09
19,44.19,22.41,46.09,89.24,47.49,80.56,41.76,57.81,57.81,51.18,51.18,83.34
20,11.90,27.85,43.33,83.04,55.11,69.57,39.19,53.36,53.36,50.92,50.92,75.54
21,30.25,28.92,56.44,86.81,56.37,76.32,30.42,53.67,53.67,52.45,52.45,74.87
22,15.36,26.67,48.42,96.77,51.65,93.75,39.37,54.16,54.16,48.78,48.78,74.84
23,40.74,22.35,49.30,84.15,60.40,71.43,37.80,54.58,54.58,53.94,53.94,86.12
24,13.47,15.34,28.57,85.43,44.83,73.91,18.05,37.83,37.83,37.68,37.68,59.91
25,30.82,18.26,40.41,84.15,47.39,71.43,28.03,44.58,44.58,43.35,43.35,82.93
26,13.07,26.98,55.22,89.50,60.97,80.56,41.99,59.77,59.77,56.28,56.28,76.23
27,34.12,31.11,57.17,92.08,58.66,85.29,29.76,53.94,53.94,52.98,52.98,84.81
28,37.30,19.74,48.56,84.76,58.18,73.53,35.69,55.20,55.20,47.84,47.84,84.36
29,32.87,25.00,69.03,88.27,59.73,78.95,30.81,49.62,49.62,47.97,47.97,85.52
30,13.46,26.79,47.34,85.77,55.63,75.00,36.53,53.95,53.95,49.10,49.10,77.63
31,10.39,23.91,38.34,90.21,56.60,82.14,47.34,63.75,63.75,54.26,54.26,75.27
32,46.18,26.32,67.34,90.37,62.34,82.35,44.55,59.55,59.55,56.87,56.87,84.87
33,36.39,25.64,67.50,91.08,64.14,83.33,30.43,53.57,53.57,53.36,53.36,75.53
34,47.43,44.68,80.03,88.06,70.71,78.13,45.63,63.52,63.52,58.74,58.74,86.21
35,14.34,19.72,43.74,79.21,47.78,64.86,34.80,50.49,50.49,45.37,45.37,65.82
36,24.31,36.36,60.62,86.41,58.24,75.76,47.92,62.36,62.36,56.94,56.94,81.61
37,15.66,47.22,67.42,93.33,66.67,87.50,53.79,66.08,66.08,56.82,56.82,78.04
38,12.74,35.59,76.78,91.54,69.64,84.38,36.79,58.72,58.72,55.18,55.18,79.74
39,12.33,16.85,46.18,85.81,56.88,75.00,37.47,53.27,53.27,45.12,45.12,75.29
40,11.08,25.77,40.38,80.32,50.44,65.22,25.23,41.28,41.28,32.87,32.87,69.44
41,13.41,13.22,43.41,80.74,51.66,65.91,28.92,49.21,49.21,46.22,46.22,77.49
42,30.71,19.10,43.93,84.75,52.81,72.97,30.95,46.71,46.71,42.26,42.26,73.05
43,29.83,18.09,49.18,78.38,50.20,62.22,27.88,42.58,42.58,33.03,33.03,68.03
44,44.22,38.46,55.08,81.32,57.39,67.65,43.41,58.21,58.21,49.27,49.27,82.76
45,39.74,42.22,67.01,88.82,55.37,79.41,41.18,60.11,60.11,57.22,57.22,73.81
46,29.90,19.54,51.21,84.56,44.84,72.09,27.13,44.33,44.33,39.43,39.43,82.14
47,42.48,29.55,55.08,92.85,62.05,86.21,44.02,61.64,61.64,51.09,51.09,71.79
48,36.84,27.78,45.20,82.07,54.95,69.44,34.68,52.91,52.91,47.58,47.58,82.12
49,36.32,26.53,50.65,90.00,58.04,81.82,34.38,57.05,57.05,56.88,56.88,85.43
50,46.77,36.59,63.96,83.15,62.14,70.97,47.62,65.25,65.25,62.59,62.59,76.96
