"sep=,"
Tyrimo_failai/GPT4_text_problems_with_missing_numbers(50)/Text_problems_with_missing_numbers.txt
Target file,Tyrimo_failai/GPT4_text_problems_with_missing_numbers(50)/Gemini_Answers_2024_05_21_10_07_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,24.79,20.74,81.17,71.13,74.60,50.59,35.30,54.16,54.16,51.06,51.06,84.74
Averages,26.21,28.40,54.36,81.91,54.79,72.45,37.11,53.33,53.33,48.76,48.76,73.50
1,11.42,28.21,64.56,84.05,60.57,72.22,34.60,55.36,55.36,53.63,53.63,79.11
2,39.93,48.84,78.72,89.66,66.67,81.25,39.48,59.19,59.19,53.22,53.22,84.47
3,60.47,52.50,78.62,92.38,73.33,85.71,63.79,76.16,76.16,66.09,66.09,87.58
4,54.35,52.27,76.21,94.93,70.89,90.32,53.55,70.49,70.49,67.21,67.21,88.30
5,36.39,41.51,62.54,90.67,55.75,82.86,35.47,55.47,55.47,43.02,43.02,82.14
6,53.82,30.43,73.63,91.64,64.96,84.38,54.51,68.70,68.70,57.94,57.94,84.23
7,14.63,20.00,40.59,91.54,51.47,84.38,37.69,57.07,57.07,53.77,53.77,76.80
8,14.00,20.62,49.82,84.76,54.98,73.53,34.69,50.60,50.60,45.53,45.53,77.61
9,42.19,38.89,71.67,85.77,66.67,75.00,48.70,65.43,65.43,57.14,57.14,75.85
10,13.81,27.94,58.85,84.72,61.87,73.17,38.89,58.71,58.71,56.94,56.94,79.00
11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12,26.58,34.00,59.73,89.11,64.17,79.41,54.97,68.09,68.09,67.02,67.02,79.52
13,38.31,26.09,50.68,91.22,51.32,83.78,39.86,55.58,55.58,47.08,47.08,73.09
14,11.11,13.21,38.58,75.59,45.61,58.70,25.23,45.47,45.47,43.47,43.47,68.25
15,16.37,38.10,60.43,84.33,55.00,72.73,47.41,61.98,61.98,55.56,55.56,73.27
16,44.33,35.71,81.73,89.34,63.02,80.65,47.39,64.77,64.77,54.35,54.35,74.12
17,15.41,27.27,60.68,76.67,56.86,61.54,48.36,60.55,60.55,57.28,57.28,75.14
18,38.62,25.88,55.37,90.51,58.13,82.35,42.16,59.11,59.11,54.48,54.48,77.42
19,46.51,21.82,44.19,87.50,54.13,77.78,42.94,59.67,59.67,53.53,53.53,85.86
20,13.10,26.25,44.24,82.13,56.65,68.09,39.56,54.89,54.89,52.38,52.38,77.19
21,31.09,30.00,55.64,80.53,57.66,66.67,31.47,54.58,54.58,53.15,53.15,75.67
22,14.53,28.77,49.54,96.77,51.07,93.75,40.42,54.76,54.76,49.13,49.13,74.32
23,42.94,23.75,51.30,86.81,63.87,76.32,39.61,56.86,56.86,56.08,56.08,86.51
24,13.99,15.53,27.84,87.44,45.39,77.27,18.37,37.77,37.77,37.68,37.68,59.98
25,30.00,19.01,43.73,86.95,45.38,75.61,25.29,43.52,43.52,43.39,43.39,82.54
26,12.72,33.90,61.95,90.80,62.96,82.86,42.42,59.91,59.91,56.28,56.28,76.21
27,33.92,34.09,59.03,86.25,58.03,75.68,31.37,52.86,52.86,50.42,50.42,83.84
