"sep=,"
Tyrimo_failai/Offline_written_math_quiz(50)/Math_quiz.txt
Target file,Tyrimo_failai/Offline_written_math_quiz(50)/GPT4o_Answers_2024_05_20_18_34_11.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,91.61,56.46,99.30,96.18,92.55,92.50,93.06,94.54,94.54,94.13,94.13,82.92
Averages,91.11,72.88,86.54,97.75,88.78,95.78,92.76,94.25,94.25,93.35,93.35,94.87
1,89.39,55.56,90.24,97.98,83.02,96.00,87.04,88.89,88.89,88.89,88.89,93.89
2,96.36,75.00,90.91,97.33,93.02,94.74,95.45,95.45,95.45,95.45,95.45,81.89
3,92.65,88.24,93.75,97.59,85.19,95.24,91.23,94.55,94.55,91.23,91.23,97.48
4,86.89,63.16,76.60,97.47,76.09,95.00,84.00,89.36,89.36,84.00,84.00,92.08
5,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
6,92.19,80.00,96.91,93.36,90.20,87.50,94.23,94.23,94.23,94.23,94.23,97.08
7,91.78,86.67,96.55,95.45,82.35,91.30,90.16,90.91,90.91,90.16,90.16,92.00
8,88.14,55.56,81.82,97.47,76.92,95.00,85.42,90.32,90.32,87.50,87.50,90.28
9,95.08,65.22,78.64,97.89,89.36,95.83,93.88,95.83,95.83,93.88,93.88,94.87
10,78.26,42.31,59.48,100.00,74.29,100.00,81.08,84.51,84.51,81.08,81.08,86.86
11,94.81,78.95,86.77,100.00,91.20,100.00,95.31,96.06,96.06,95.31,95.31,94.06
12,83.87,71.43,95.74,85.75,69.31,75.00,84.62,85.44,85.44,84.62,84.62,91.27
13,84.21,57.14,81.79,97.98,85.71,96.00,91.23,91.23,91.23,91.23,91.23,92.85
14,98.53,93.75,96.90,100.00,96.30,100.00,98.18,98.18,98.18,98.18,98.18,98.90
15,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
16,94.74,78.95,88.24,100.00,92.06,100.00,93.75,95.31,95.31,95.31,95.31,97.47
17,80.00,34.62,51.62,97.80,81.30,95.65,88.89,91.20,91.20,90.48,90.48,88.16
18,96.30,71.43,83.33,100.00,91.85,100.00,95.65,96.35,96.35,95.65,95.65,96.44
19,87.34,100.00,100.00,100.00,94.92,100.00,96.72,98.33,98.33,96.72,96.72,93.92
20,94.29,80.00,88.89,95.83,95.58,92.00,96.55,97.39,97.39,96.55,96.55,90.83
21,88.14,85.71,96.43,89.60,75.27,80.95,85.42,86.32,86.32,85.42,85.42,88.68
22,91.57,52.17,69.29,98.26,87.02,96.55,91.18,94.74,94.74,92.65,92.65,96.49
23,77.61,57.89,73.33,100.00,83.52,100.00,87.50,92.47,92.47,89.58,89.58,93.42
24,90.28,78.95,88.24,100.00,92.73,100.00,96.43,96.43,96.43,96.43,96.43,92.37
25,85.92,65.22,79.06,97.80,94.00,95.65,96.08,96.08,96.08,96.08,96.08,96.59
26,93.75,89.47,94.44,100.00,96.77,100.00,98.41,98.41,98.41,98.41,98.41,98.56
27,82.26,55.56,80.00,87.83,79.12,78.26,85.11,88.17,88.17,87.23,87.23,91.13
28,87.84,40.91,87.17,100.00,87.72,100.00,91.53,93.10,93.10,91.53,91.53,90.96
29,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
30,89.71,85.71,97.50,90.00,78.18,81.82,89.29,89.29,89.29,89.29,89.29,95.71
31,93.42,42.86,60.54,97.80,87.80,95.65,92.19,96.00,96.00,93.75,93.75,98.42
32,90.63,50.00,84.22,100.00,83.50,100.00,88.68,91.43,91.43,90.57,90.57,90.95
33,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
34,89.23,68.42,81.25,95.24,76.92,90.91,87.04,88.68,88.68,87.04,87.04,93.36
35,92.96,63.16,77.46,94.44,86.67,89.47,91.80,93.44,93.44,93.44,93.44,96.48
36,88.89,66.67,92.34,97.70,96.30,95.45,98.18,98.18,98.18,98.18,98.18,98.79
37,81.36,100.00,100.00,100.00,93.62,100.00,83.33,91.67,91.67,91.67,91.67,97.08
38,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
39,92.98,52.94,89.19,93.93,85.71,88.24,91.49,92.47,92.47,91.49,91.49,93.74
40,96.88,88.89,94.12,100.00,96.15,100.00,98.11,98.11,98.11,98.11,98.11,94.58
41,85.19,70.59,82.81,95.24,75.61,90.91,84.09,88.10,88.10,84.09,84.09,91.53
42,95.59,70.00,85.00,100.00,90.91,100.00,94.64,96.43,96.43,96.43,96.43,98.74
43,97.18,80.00,88.89,100.00,94.83,100.00,96.61,96.61,96.61,96.61,96.61,98.64
44,95.31,85.71,96.43,100.00,96.00,100.00,98.04,98.04,98.04,98.04,98.04,98.82
45,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
46,91.38,86.67,95.45,100.00,95.35,100.00,97.73,97.73,97.73,97.73,97.73,94.90
47,95.24,54.55,70.71,100.00,94.29,100.00,97.18,97.18,97.18,97.18,97.18,97.86
48,82.93,38.46,55.64,97.89,80.00,95.83,83.82,87.88,87.88,85.29,85.29,94.71
49,90.00,70.59,85.75,100.00,94.59,100.00,97.37,97.37,97.37,97.37,97.37,97.87
50,84.62,65.00,83.33,100.00,87.64,100.00,93.48,94.51,94.51,93.48,93.48,92.69
