"sep=,"
Tyrimo_failai/Offline_written_math_quiz(50)/Math_quiz.txt
Target file,Tyrimo_failai/Offline_written_math_quiz(50)/Gemini_Answers_2024_05_21_10_07_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,87.37,50.00,99.18,92.76,86.35,86.05,88.82,90.54,90.54,89.24,89.24,80.47
Averages,86.60,68.22,83.40,96.15,80.62,92.74,88.08,89.82,89.82,88.33,88.33,91.35
1,86.36,64.71,92.68,96.00,67.92,92.31,83.33,83.33,83.33,83.33,83.33,88.44
2,96.43,86.67,95.45,100.00,98.85,100.00,97.78,98.88,98.88,97.78,97.78,99.56
3,89.04,68.42,81.25,100.00,86.73,100.00,91.38,93.91,93.91,93.10,93.10,95.16
4,80.33,50.00,55.56,97.47,70.21,95.00,78.00,81.25,81.25,78.00,78.00,87.68
5,94.12,68.42,84.29,100.00,91.43,100.00,94.55,97.20,97.20,94.55,94.55,95.83
6,87.50,86.67,97.96,95.45,71.29,91.30,84.62,85.44,85.44,84.62,84.62,93.72
7,78.21,55.56,86.21,91.39,68.91,84.00,81.97,84.30,84.30,83.61,83.61,85.19
8,84.75,64.71,86.36,95.00,71.74,90.48,81.25,85.11,85.11,83.33,83.33,92.06
9,91.94,84.21,89.60,100.00,91.30,100.00,95.74,95.74,95.74,95.74,95.74,95.85
10,83.75,44.00,61.11,100.00,79.07,100.00,85.29,88.55,88.55,85.29,85.29,88.79
11,96.10,83.33,92.34,100.00,95.16,100.00,95.31,96.83,96.83,95.31,95.31,94.15
12,98.39,84.62,97.87,94.44,96.08,89.47,98.08,98.08,98.08,98.08,98.08,99.23
13,84.51,76.47,91.30,97.98,86.24,96.00,89.47,91.89,91.89,89.47,89.47,92.08
14,91.30,93.75,96.90,95.45,83.33,91.30,90.91,90.91,90.91,90.91,90.91,96.36
15,98.48,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
16,88.46,75.00,85.75,94.28,82.26,88.89,87.50,90.48,90.48,89.06,89.06,91.46
17,77.78,38.46,55.90,93.36,77.05,87.50,87.30,88.71,88.71,87.30,87.30,88.85
18,91.57,80.00,88.89,97.98,94.03,96.00,95.65,97.06,97.06,95.65,95.65,91.10
19,91.55,60.00,75.00,100.00,85.47,100.00,90.16,94.12,94.12,91.80,91.80,90.62
20,95.71,80.00,88.89,100.00,95.58,100.00,96.55,97.39,97.39,96.55,96.55,98.96
21,79.03,68.75,91.24,91.93,74.47,85.00,87.50,87.50,87.50,87.50,87.50,81.90
22,86.90,69.57,81.04,100.00,86.15,100.00,91.18,93.94,93.94,91.18,91.18,93.20
23,80.00,66.67,80.00,95.45,77.65,91.30,86.67,89.66,89.66,86.67,86.67,91.93
24,88.89,78.95,88.24,97.59,90.91,95.24,94.64,94.64,94.64,94.64,94.64,96.69
25,90.77,75.00,85.75,100.00,92.93,100.00,96.08,97.03,97.03,96.08,96.08,96.98
26,83.54,48.00,64.89,94.14,75.00,88.89,84.13,86.89,86.89,84.13,84.13,92.65
27,85.00,55.56,80.00,90.00,78.65,81.82,86.96,87.91,87.91,86.96,86.96,90.44
28,80.26,47.62,87.01,97.89,78.95,95.83,84.75,86.21,86.21,84.75,84.75,87.89
29,96.97,73.33,95.83,97.70,95.33,95.45,96.36,97.25,97.25,96.36,96.36,95.13
30,98.53,85.71,97.50,95.00,96.36,90.48,98.21,98.21,98.21,98.21,98.21,99.29
31,82.89,57.14,72.76,97.80,76.27,95.65,82.81,88.33,88.33,82.81,82.81,89.49
32,84.13,62.50,89.29,90.00,64.71,81.82,80.77,82.69,82.69,82.69,82.69,89.59
33,81.69,70.59,90.51,86.96,85.15,76.92,90.38,93.20,93.20,92.31,92.31,92.00
34,88.73,88.24,93.75,100.00,96.23,100.00,98.15,98.15,98.15,98.15,98.15,97.19
35,68.29,25.93,43.64,91.93,59.32,85.00,77.05,78.33,78.33,77.05,77.05,78.96
36,98.48,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
37,98.31,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
38,83.02,71.43,95.74,89.60,57.14,80.95,79.07,79.07,79.07,79.07,79.07,81.71
39,87.50,44.44,86.49,93.33,74.16,87.50,84.78,85.71,85.71,84.78,84.78,87.62
40,82.81,73.68,84.89,94.28,80.81,88.89,83.02,87.13,87.13,83.02,83.02,81.33
41,83.33,61.11,75.91,95.12,73.42,90.48,81.82,88.89,88.89,81.82,81.82,93.57
42,74.32,73.68,82.08,95.83,65.42,92.00,78.57,80.73,80.73,78.57,78.57,85.05
43,84.51,63.64,77.78,96.08,71.30,92.31,81.36,82.05,82.05,81.36,81.36,91.99
44,88.71,62.50,89.29,94.74,77.55,90.00,86.27,88.00,88.00,86.27,86.27,89.76
45,85.53,72.73,84.21,97.98,79.31,96.00,89.83,89.83,89.83,89.83,89.83,89.65
46,75.86,86.67,95.45,92.34,55.81,85.71,77.27,77.27,77.27,77.27,77.27,82.39
47,83.72,55.00,71.00,95.45,77.70,91.30,88.73,89.36,89.36,88.73,88.73,89.24
48,82.72,41.67,54.23,97.89,73.85,95.83,83.82,86.36,86.36,83.82,83.82,86.49
49,75.00,33.33,58.93,94.12,49.28,88.89,68.42,73.24,73.24,68.42,68.42,78.91
50,84.48,52.63,69.31,95.65,74.42,91.67,80.43,84.09,84.09,80.43,80.43,91.44
