"sep=,"
Tyrimo_failai/Offline_written_math_text_problems(50)/Text_problems.txt
Target file,Tyrimo_failai/Offline_written_math_text_problems(50)/GPT4o_Answers_2024_05_20_18_34_11.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,98.36,92.43,99.59,97.65,98.09,95.35,98.64,99.00,99.00,98.82,98.82,91.77
Averages,98.22,93.27,97.41,98.19,97.82,96.52,98.63,98.97,98.97,98.71,98.71,98.60
1,98.54,86.36,94.02,93.36,96.30,87.50,98.17,98.17,98.17,98.17,98.17,99.27
2,99.12,88.24,96.67,98.06,98.38,96.15,98.94,99.47,99.47,98.94,98.94,99.79
3,97.73,73.33,91.67,95.65,94.44,91.67,97.26,97.26,97.26,97.26,97.26,98.90
4,99.25,95.83,97.65,97.89,98.10,95.83,99.06,99.06,99.06,99.06,99.06,96.00
5,99.28,91.67,97.56,96.30,98.21,92.86,99.12,99.12,99.12,99.12,99.12,99.65
6,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
7,97.89,76.00,92.31,98.06,96.07,96.15,97.41,97.84,97.84,97.41,97.41,93.60
8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
9,99.25,92.00,97.87,98.13,98.10,96.30,99.06,99.06,99.06,99.06,99.06,99.62
10,99.36,91.30,97.83,96.00,98.41,92.31,99.21,99.21,99.21,99.21,99.21,99.69
11,99.28,91.67,97.37,100.00,98.20,100.00,99.11,99.11,99.11,99.11,99.11,98.22
12,98.98,89.47,96.55,97.70,97.40,95.45,98.72,98.72,98.72,98.72,98.72,99.49
13,96.05,91.30,98.33,92.00,93.72,85.19,95.04,97.10,97.10,96.69,96.69,98.84
14,95.88,94.44,98.13,97.98,96.64,96.00,96.10,98.01,98.01,96.10,96.10,98.14
15,97.92,90.00,96.00,93.64,95.30,88.00,97.37,98.01,98.01,97.37,97.37,99.21
16,99.33,100.00,100.00,100.00,98.78,100.00,99.19,99.60,99.60,99.19,99.19,99.84
17,96.63,92.00,98.46,98.13,96.48,96.30,97.22,97.90,97.90,97.22,97.22,96.45
18,99.48,93.33,97.96,96.43,98.73,93.10,99.37,99.37,99.37,99.37,99.37,99.75
19,95.65,85.00,97.25,96.30,95.41,92.86,95.54,97.27,97.27,95.54,95.54,97.61
20,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
21,99.22,94.12,98.11,97.98,98.04,96.00,99.03,99.03,99.03,99.03,99.03,96.96
22,99.20,90.48,95.20,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
24,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
25,98.65,88.24,98.11,97.89,97.96,95.83,98.39,98.79,98.79,98.39,98.39,98.92
26,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
27,95.35,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
28,95.08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
29,99.29,91.67,97.67,98.13,98.25,96.30,99.13,99.13,99.13,99.13,99.13,95.35
30,99.19,100.00,100.00,97.89,98.51,95.83,99.02,99.51,99.51,99.02,99.02,99.80
31,99.29,100.00,100.00,100.00,98.68,100.00,99.13,99.56,99.56,99.13,99.13,99.83
32,95.08,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
33,98.46,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
34,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
35,96.81,88.24,96.00,100.00,94.67,100.00,97.37,97.37,97.37,97.37,97.37,85.04
36,90.24,76.47,88.89,90.58,90.23,82.76,94.12,94.81,94.81,94.12,94.12,94.49
37,95.18,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
38,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
39,98.53,88.00,97.35,98.20,97.12,96.43,98.11,99.05,99.05,98.11,98.11,99.62
40,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
41,97.99,100.00,100.00,97.89,97.48,95.83,98.35,99.17,99.17,98.35,98.35,99.67
42,99.27,91.67,97.37,98.13,98.17,96.30,99.09,99.09,99.09,99.09,99.09,99.64
43,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
44,96.46,86.96,93.90,92.92,94.44,86.67,96.74,97.80,97.80,96.74,96.74,99.13
45,98.17,90.91,96.67,97.98,96.55,96.00,97.73,97.73,97.73,97.73,97.73,96.53
46,99.41,100.00,100.00,98.20,98.90,96.43,99.28,99.64,99.64,99.28,99.28,99.86
47,94.40,71.43,80.00,97.98,89.62,96.00,93.46,96.26,96.26,96.26,96.26,99.06
48,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
49,97.95,92.00,89.74,100.00,95.28,100.00,97.46,97.87,97.87,97.46,97.46,92.03
50,98.37,91.30,96.00,100.00,98.49,100.00,99.01,99.50,99.50,99.01,99.01,99.80
