"sep=,"
Tyrimo_failai/Online_written_math_quiz(50)/Math_quiz.txt
Target file,Tyrimo_failai/Online_written_math_quiz(50)/GPT4o_Answers_2024_05_20_18_34_11.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,97.73,89.11,99.86,96.18,98.02,92.50,98.75,98.96,98.96,98.89,98.89,84.65
Averages,97.70,93.03,96.81,99.43,97.75,98.90,98.69,98.90,98.90,98.73,98.73,98.97
1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
3,89.47,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
4,98.36,87.50,94.44,100.00,98.97,100.00,98.00,98.99,98.99,98.00,98.00,95.11
5,95.77,94.12,97.98,98.13,98.18,96.30,96.49,98.21,98.21,96.49,96.49,98.83
6,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
7,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
8,98.31,86.67,95.45,100.00,95.74,100.00,97.92,97.92,97.92,97.92,97.92,99.17
9,98.31,89.47,94.44,100.00,95.65,100.00,97.87,97.87,97.87,97.87,97.87,96.98
10,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
11,95.06,75.00,87.83,100.00,97.64,100.00,98.46,99.22,99.22,98.46,98.46,97.50
12,80.28,84.62,97.87,94.44,79.61,89.47,88.68,89.52,89.52,88.68,88.68,94.54
13,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
14,98.53,87.50,96.67,100.00,96.30,100.00,98.18,98.18,98.18,98.18,98.18,99.27
15,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
16,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
17,94.59,68.42,81.25,100.00,89.60,100.00,93.75,94.49,94.49,93.75,93.75,98.25
18,95.29,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
19,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
20,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
21,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
22,98.80,100.00,100.00,98.26,97.74,96.55,98.53,99.26,99.26,98.53,98.53,99.71
23,96.49,68.42,81.41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
24,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
25,96.92,72.73,84.33,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
26,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
27,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
28,94.67,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
29,98.46,85.71,97.92,100.00,96.23,100.00,98.15,98.15,98.15,98.15,98.15,96.81
30,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
31,97.37,78.95,88.24,97.89,93.65,95.83,96.88,96.88,96.88,96.88,96.88,98.27
32,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
33,95.16,75.00,93.10,100.00,90.00,100.00,94.12,96.08,96.08,96.08,96.08,97.41
34,98.46,88.24,93.75,100.00,96.23,100.00,98.15,98.15,98.15,98.15,98.15,96.62
