"sep=,"
Tyrimo_failai/Online_written_math_quiz(50)/Math_quiz.txt
Target file,Tyrimo_failai/Online_written_math_quiz(50)/Gemini_Answers_2024_05_21_10_07_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,95.90,79.90,99.73,100.00,97.98,100.00,98.37,98.85,98.85,98.68,98.68,88.32
Averages,95.88,88.23,93.89,99.79,97.52,99.59,98.39,98.86,98.86,98.49,98.49,98.37
1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2,98.18,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
3,94.44,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
4,93.85,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
5,90.67,94.12,97.98,98.13,98.18,96.30,96.49,98.21,98.21,96.49,96.49,98.83
6,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
7,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
8,87.50,86.67,95.45,100.00,95.74,100.00,97.92,97.92,97.92,97.92,97.92,99.17
9,96.61,80.00,88.89,100.00,91.30,100.00,95.74,95.74,95.74,95.74,95.74,96.30
10,86.21,54.17,70.35,100.00,85.93,100.00,91.30,93.43,93.43,92.75,92.75,91.44
11,96.10,83.33,92.34,100.00,95.16,100.00,95.31,96.83,96.83,95.31,95.31,94.15
12,92.54,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
13,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
14,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
15,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
16,95.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
17,97.26,77.78,87.50,100.00,94.31,100.00,96.83,97.60,97.60,96.83,96.83,94.62
18,89.89,48.15,65.33,100.00,97.06,100.00,98.55,98.55,98.55,98.55,98.55,98.10
19,97.18,77.78,87.50,100.00,95.00,100.00,96.72,98.36,98.36,98.36,98.36,92.01
20,98.59,89.47,94.44,100.00,97.39,100.00,98.31,99.15,99.15,98.31,98.31,98.28
21,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
22,98.80,100.00,100.00,98.26,97.74,96.55,98.53,99.26,99.26,98.53,98.53,99.71
23,87.10,57.14,73.03,97.70,95.45,95.45,97.78,97.78,97.78,97.78,97.78,95.70
24,93.06,88.89,94.12,97.59,96.36,95.24,98.21,98.21,98.21,98.21,98.21,99.29
25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
26,95.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
27,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
28,98.59,86.67,97.96,97.89,96.55,95.83,98.31,98.31,98.31,98.31,98.31,99.32
29,96.92,73.33,95.83,100.00,95.24,100.00,96.30,97.20,97.20,96.30,96.30,96.38
30,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
31,89.47,61.90,76.47,100.00,91.06,100.00,93.75,96.00,96.00,93.75,93.75,93.65
32,88.24,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
33,96.77,75.00,93.10,100.00,93.88,100.00,96.08,98.00,98.00,96.08,96.08,95.13
34,96.97,88.24,93.75,100.00,96.23,100.00,98.15,98.15,98.15,98.15,98.15,97.19
35,92.21,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
36,95.45,64.71,92.11,100.00,91.59,100.00,94.55,97.25,97.25,96.36,96.36,98.90
37,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
38,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
39,94.74,92.31,97.40,100.00,98.88,100.00,97.83,98.90,98.90,97.83,97.83,99.35
40,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
41,96.36,87.50,93.33,100.00,96.47,100.00,97.73,98.85,98.85,97.73,97.73,99.55
42,90.67,63.64,81.76,100.00,97.30,100.00,98.25,99.12,99.12,98.25,98.25,97.86
43,95.77,71.43,83.33,100.00,89.66,100.00,94.92,94.92,94.92,94.92,94.92,96.89
44,92.06,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
45,98.59,85.00,91.93,100.00,97.39,100.00,98.31,99.15,99.15,98.31,98.31,93.45
46,98.18,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
47,89.01,42.31,60.01,100.00,97.14,100.00,98.59,98.59,98.59,98.59,98.59,99.15
48,97.50,88.89,94.12,100.00,98.48,100.00,97.06,98.51,98.51,97.06,97.06,94.56
49,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
50,98.31,93.33,96.44,100.00,96.70,100.00,97.87,98.92,98.92,97.87,97.87,99.57
