"sep=,"
Tyrimo_failai/Online_written_math_text_problems(50)/Text_problems.txt
Target file,Tyrimo_failai/Online_written_math_text_problems(50)/Gemini_Answers_2024_05_21_10_07_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,97.82,95.10,99.63,100.00,98.74,100.00,97.91,98.91,98.91,98.00,98.00,91.12
Averages,97.50,95.41,96.40,97.96,97.49,97.92,97.60,97.76,97.76,97.67,97.67,97.30
1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
4,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
5,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
6,94.00,100.00,98.00,100.00,95.48,100.00,93.83,96.82,96.82,93.83,93.83,93.50
7,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
10,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
11,99.28,91.67,97.37,100.00,99.55,100.00,99.11,99.55,99.55,99.11,99.11,91.80
12,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
13,99.34,87.50,97.52,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
14,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
15,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
16,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
17,99.44,95.83,98.50,100.00,98.95,100.00,99.31,99.65,99.65,99.31,99.31,91.82
18,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
19,97.16,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
20,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
21,98.45,88.24,92.45,97.89,96.08,95.83,98.06,98.06,98.06,98.06,98.06,96.55
22,99.20,90.48,95.20,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
24,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
