"sep=,"
Tyrimo_failai/RNN_math_quiz(50)/Math_quiz.txt
Target file,Tyrimo_failai/RNN_math_quiz(50)/GPT4o_Answers_2024_05_20_18_34_11.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,85.76,34.05,98.99,86.90,88.66,75.51,83.44,87.17,87.17,86.98,86.98,82.05
Averages,85.30,57.11,76.32,95.52,78.81,91.57,83.50,86.94,86.94,85.52,85.52,91.81
1,88.73,61.11,92.24,98.06,86.24,96.15,89.47,91.89,91.89,89.47,89.47,91.16
2,96.36,75.00,90.91,100.00,90.70,100.00,95.45,95.45,95.45,95.45,95.45,98.18
3,86.76,60.00,75.00,97.59,80.00,95.24,84.21,89.29,89.29,87.72,87.72,89.49
4,88.89,66.67,83.33,100.00,82.00,100.00,86.54,88.24,88.24,86.54,86.54,95.99
5,86.76,60.00,83.33,98.06,79.63,96.15,83.64,87.27,87.27,87.27,87.27,91.60
6,87.50,64.71,93.88,88.91,82.35,80.00,84.62,84.62,84.62,84.62,84.62,91.69
7,90.54,55.56,86.21,95.45,85.00,91.30,88.71,90.16,90.16,88.71,88.71,93.00
8,88.14,64.71,86.36,92.34,75.27,85.71,85.42,86.32,86.32,85.42,85.42,94.53
9,68.12,40.00,57.17,91.30,70.21,84.00,77.55,81.25,81.25,79.59,79.59,86.62
10,73.17,48.00,64.89,91.75,58.82,84.62,68.57,75.36,75.36,74.29,74.29,87.44
11,72.73,38.46,51.30,94.14,67.20,88.89,67.19,75.59,75.59,75.00,75.00,88.46
12,84.62,84.62,97.87,91.93,77.23,85.00,88.46,89.32,89.32,88.46,88.46,95.73
13,85.71,66.67,86.96,95.74,79.65,91.67,82.76,88.70,88.70,87.93,87.93,91.36
14,91.55,66.67,90.00,87.81,84.68,77.78,89.66,92.04,92.04,89.66,89.66,94.53
15,90.77,55.56,89.47,95.65,85.15,91.67,90.57,93.20,93.20,90.57,90.57,90.44
16,88.46,45.83,62.88,97.98,81.89,96.00,87.69,91.47,91.47,90.77,90.77,92.38
17,73.97,23.08,37.50,95.74,69.49,91.67,74.60,81.67,81.67,77.78,77.78,80.02
18,80.49,38.46,55.56,100.00,72.99,100.00,77.14,82.01,82.01,81.43,81.43,90.59
19,80.28,45.45,62.50,97.59,70.69,95.24,77.05,83.05,83.05,80.33,80.33,89.52
20,77.33,38.46,55.56,93.90,62.71,88.46,74.19,80.00,80.00,77.42,77.42,88.94
21,91.53,62.50,89.29,97.18,86.02,94.44,89.58,90.53,90.53,89.58,89.58,94.79
22,90.36,58.33,68.48,98.32,83.58,96.67,88.24,91.18,91.18,91.18,91.18,91.50
23,83.64,33.33,50.13,95.45,72.94,91.30,80.00,82.76,82.76,80.00,80.00,88.93
24,85.29,54.55,70.59,93.05,80.73,86.96,82.14,86.49,86.49,85.71,85.71,89.70
25,88.24,54.17,70.30,91.99,80.00,84.62,85.71,89.72,89.72,85.71,85.71,92.01
26,88.16,63.64,77.78,98.06,79.67,96.15,85.71,88.00,88.00,87.30,87.30,95.08
27,89.66,55.56,70.50,97.59,84.44,95.24,89.13,91.30,91.30,91.30,91.30,88.00
28,87.50,47.37,89.80,95.83,83.76,92.00,85.00,90.76,90.76,90.00,90.00,94.80
29,90.77,100.00,100.00,95.45,77.36,91.30,88.89,88.89,88.89,88.89,88.89,95.56
30,95.65,85.71,92.50,97.47,91.89,95.00,94.74,95.58,95.58,94.74,94.74,94.53
31,81.48,45.83,63.51,94.05,76.19,88.46,84.38,85.94,85.94,85.94,85.94,90.04
32,88.89,85.71,96.43,95.00,76.47,90.48,86.54,88.46,88.46,88.46,88.46,92.34
33,89.06,64.71,89.66,95.65,82.35,91.67,86.79,90.38,90.38,88.68,88.68,96.69
34,86.15,57.89,58.63,100.00,81.90,100.00,83.33,84.11,84.11,83.33,83.33,93.60
35,61.97,27.27,43.30,91.93,47.79,85.00,57.38,64.35,64.35,60.66,60.66,85.27
36,87.14,73.33,94.63,89.09,84.40,80.00,89.29,90.09,90.09,89.29,89.29,90.84
37,89.83,52.94,85.71,97.47,80.85,95.00,87.50,87.50,87.50,87.50,87.50,94.62
38,94.55,60.00,93.62,100.00,90.70,100.00,93.33,95.45,95.45,93.33,93.33,93.44
39,84.75,42.11,84.73,81.41,82.61,68.42,83.33,87.23,87.23,85.42,85.42,93.62
40,88.24,78.95,88.24,100.00,85.19,100.00,85.96,90.91,90.91,87.72,87.72,96.71
41,90.74,57.89,73.33,100.00,83.72,100.00,88.64,90.91,90.91,90.91,90.91,94.59
42,75.00,44.00,68.85,95.83,74.29,92.00,71.43,78.50,78.50,75.00,75.00,87.77
43,85.92,70.00,82.50,97.98,83.64,96.00,83.05,87.50,87.50,83.05,83.05,94.57
44,82.26,35.00,77.20,90.89,74.00,82.61,78.43,82.35,82.35,82.35,82.35,82.37
45,87.67,65.22,78.95,97.98,81.36,96.00,85.25,88.33,88.33,86.89,86.89,93.59
46,94.44,75.00,90.91,97.47,89.41,95.00,93.18,96.55,96.55,95.45,95.45,98.63
47,60.98,21.74,36.08,95.45,58.82,91.30,57.75,66.67,66.67,64.79,64.79,86.44
48,77.50,30.77,47.06,97.89,66.17,95.83,73.53,81.48,81.48,80.88,80.88,89.88
49,93.75,76.47,88.89,100.00,92.96,100.00,92.11,95.89,95.89,92.11,92.11,94.99
50,93.10,76.47,91.67,93.36,85.39,87.50,91.30,92.31,92.31,91.30,91.30,94.07
