"sep=,"
Tyrimo_failai/RNN_math_quiz(50)/Math_quiz.txt
Target file,Tyrimo_failai/RNN_math_quiz(50)/Gemini_Answers_2024_05_21_10_07_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,85.97,34.84,98.79,89.69,88.89,80.43,84.60,89.07,89.07,89.04,89.04,81.75
Averages,85.23,56.75,75.66,94.43,80.86,91.27,84.38,87.75,87.75,86.00,86.00,90.23
1,95.45,75.00,95.12,97.98,90.57,96.00,94.44,94.44,94.44,94.44,94.44,96.60
2,89.09,64.71,85.28,94.87,84.71,90.00,88.64,91.95,91.95,90.91,90.91,96.79
3,86.11,45.45,62.50,100.00,81.74,100.00,85.00,87.18,87.18,85.00,85.00,96.71
4,88.06,66.67,83.33,100.00,85.15,100.00,90.57,93.20,93.20,90.57,90.57,92.58
5,85.29,40.91,47.43,98.06,75.93,96.15,81.82,85.45,85.45,85.45,85.45,91.96
6,87.69,64.71,93.88,81.82,83.50,69.23,86.79,89.52,89.52,88.68,88.68,93.25
7,93.24,64.71,89.66,100.00,90.00,100.00,91.94,93.44,93.44,91.94,91.94,94.12
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9,77.61,50.00,66.67,91.30,73.47,84.00,79.25,84.00,84.00,79.25,79.25,85.63
10,86.25,31.03,47.43,98.06,79.10,96.15,83.82,88.24,88.24,88.24,88.24,89.99
11,79.22,37.50,55.90,98.13,73.60,96.30,75.00,81.89,81.89,81.25,81.25,91.70
12,93.65,71.43,95.74,97.33,94.12,94.74,94.23,96.15,96.15,96.15,96.15,94.26
13,84.72,66.67,85.88,93.54,80.70,87.50,83.05,87.93,87.93,86.44,86.44,91.85
14,95.71,76.47,93.33,97.80,94.55,95.65,94.74,96.43,96.43,94.74,94.74,98.58
15,93.85,64.71,92.11,97.80,93.07,95.65,94.34,97.09,97.09,94.34,94.34,89.11
16,85.71,50.00,66.77,97.98,85.94,96.00,90.91,93.85,93.85,92.42,92.42,90.58
17,83.56,63.16,77.46,97.80,90.76,95.65,82.54,90.91,90.91,87.30,87.30,93.70
18,85.19,54.55,70.71,100.00,80.60,100.00,84.06,88.24,88.24,86.96,86.96,88.81
19,74.67,33.33,50.00,93.05,62.90,86.96,70.77,76.19,76.19,73.85,73.85,83.70
20,84.93,44.00,61.11,97.98,71.79,96.00,81.97,85.71,85.71,83.61,83.61,86.86
21,88.52,66.67,89.71,94.44,85.11,89.47,89.58,91.67,91.67,91.67,91.67,94.39
22,86.52,46.15,59.09,96.49,80.88,93.10,88.57,89.86,89.86,88.57,88.57,90.82
23,91.23,66.67,80.00,100.00,87.64,100.00,91.30,94.51,94.51,93.48,93.48,93.62
24,84.29,54.55,70.50,97.70,77.48,95.45,82.46,86.73,86.73,85.96,85.96,91.20
25,80.28,60.87,75.70,95.74,80.77,91.67,81.82,86.79,86.79,83.64,83.64,90.84
26,93.51,63.64,77.78,100.00,88.00,100.00,92.19,92.91,92.91,92.19,92.19,95.13
27,73.97,63.16,74.60,87.71,71.84,76.92,72.88,81.90,81.90,72.88,72.88,82.58
28,85.53,47.37,89.80,97.89,82.64,95.83,84.38,89.43,89.43,85.94,85.94,89.97
29,97.01,85.71,97.92,97.80,96.30,95.65,96.43,98.18,98.18,96.43,96.43,99.29
30,94.29,80.00,92.34,97.47,91.07,95.00,93.10,94.74,94.74,93.10,93.10,94.02
31,82.89,43.48,61.21,97.89,74.19,95.83,79.69,85.71,85.71,84.38,84.38,90.56
32,87.88,85.71,96.43,95.00,79.61,90.48,88.68,89.52,89.52,88.68,88.68,90.07
33,90.32,64.71,89.66,95.55,80.81,91.30,88.24,91.09,91.09,90.20,90.20,94.25
34,97.01,77.78,87.50,100.00,96.30,100.00,96.43,98.18,98.18,96.43,96.43,96.32
35,71.83,25.00,40.09,94.44,64.96,89.47,70.49,77.31,77.31,75.41,75.41,87.71
36,91.30,64.71,92.11,97.70,88.29,95.45,89.66,92.04,92.04,89.66,89.66,95.30
37,85.48,42.11,80.71,97.47,72.16,95.00,82.35,84.85,84.85,82.35,82.35,93.29
38,94.64,60.00,93.62,100.00,94.25,100.00,93.48,96.63,96.63,93.48,93.48,93.81
39,84.21,42.11,84.73,86.67,83.52,76.47,85.11,88.17,88.17,87.23,87.23,88.75
40,88.06,78.95,88.24,97.98,84.11,96.00,85.71,88.07,88.07,85.71,85.71,94.73
41,91.07,61.11,75.91,97.70,84.09,95.45,89.13,91.11,91.11,89.13,89.13,91.58
42,85.29,65.00,80.50,97.98,77.06,96.00,83.93,88.29,88.29,87.50,87.50,90.02
43,88.73,78.95,88.39,100.00,89.91,100.00,86.44,91.89,91.89,86.44,86.44,96.90
44,87.30,36.84,78.57,95.12,81.19,90.48,84.62,87.38,87.38,86.54,86.54,89.72
45,90.54,68.18,80.10,100.00,84.03,100.00,88.71,90.91,90.91,88.71,88.71,93.54
46,87.50,64.71,86.36,92.34,78.16,85.71,86.67,87.64,87.64,86.67,86.67,90.45
47,67.07,20.00,36.38,88.40,64.71,79.17,69.01,76.81,76.81,74.65,74.65,87.15
48,80.25,30.77,47.06,95.83,76.12,92.00,77.94,85.29,85.29,85.29,85.29,88.01
49,91.67,61.11,80.03,97.18,90.41,94.44,94.74,96.00,96.00,94.74,94.74,94.80
50,93.10,66.67,87.50,95.55,85.39,91.30,91.30,92.31,92.31,91.30,91.30,95.71
