"sep=,"
Tyrimo_failai/RNN_math_text_problems(50)/Text_problems.txt
Target file,Tyrimo_failai/RNN_math_text_problems(50)/GPT4o_Answers_2024_05_20_18_34_11.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,98.33,96.05,99.67,94.41,98.30,89.13,98.28,98.86,98.86,98.49,98.49,90.36
Averages,98.25,95.11,97.84,98.78,97.94,97.64,98.21,98.79,98.79,98.28,98.28,98.29
1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2,96.46,100.00,98.38,100.00,98.36,100.00,96.81,98.38,98.38,96.81,96.81,84.28
3,98.88,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
4,99.25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
5,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
6,90.48,90.00,93.64,96.08,89.02,92.31,89.41,91.57,91.57,89.41,89.41,94.28
7,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
10,98.72,83.33,95.65,98.06,96.83,96.15,98.43,98.43,98.43,98.43,98.43,98.97
11,99.28,91.67,97.37,95.83,98.20,92.00,99.11,99.11,99.11,99.11,99.11,99.64
12,98.98,94.74,96.56,100.00,98.04,100.00,98.72,99.35,99.35,98.72,98.72,95.46
13,99.34,91.30,98.33,97.98,98.32,96.00,99.17,99.17,99.17,99.17,99.17,99.67
14,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
15,97.92,80.95,92.00,93.64,95.30,88.00,97.37,98.01,98.01,97.37,97.37,99.21
16,98.68,100.00,100.00,98.13,97.58,96.30,98.41,99.20,99.20,98.41,98.41,99.68
17,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
18,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
19,99.28,90.00,98.18,100.00,98.20,100.00,99.11,99.11,99.11,99.11,99.11,99.46
20,99.32,92.59,97.14,96.30,98.29,92.86,99.15,99.15,99.15,99.15,99.15,99.66
21,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
22,98.39,100.00,98.33,100.00,98.51,100.00,99.02,99.51,99.51,99.02,99.02,99.80
23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
24,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
26,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
27,97.67,92.59,97.50,100.00,96.82,100.00,97.20,98.25,98.25,97.90,97.90,98.30
28,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
29,90.07,80.00,92.79,96.15,90.09,92.59,90.43,92.86,92.86,90.43,90.43,92.38
30,93.55,91.30,96.08,95.83,95.43,92.00,94.12,96.48,96.48,94.12,94.12,94.87
31,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
32,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
33,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
34,96.77,100.00,98.83,100.00,97.56,100.00,97.14,98.55,98.55,97.14,97.14,95.90
35,98.94,88.24,96.00,95.83,97.33,92.00,98.68,98.68,98.68,98.68,98.68,99.47
36,96.30,76.47,88.89,94.36,92.42,89.29,95.52,97.01,97.01,97.01,97.01,98.81
37,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
38,89.19,80.00,90.95,100.00,89.29,100.00,88.33,92.98,92.98,88.33,88.33,83.77
39,97.06,100.00,99.14,100.00,97.58,100.00,97.17,98.56,98.56,97.17,97.17,95.65
40,99.00,95.00,97.01,100.00,97.50,100.00,98.77,98.77,98.77,98.77,98.77,99.51
41,98.66,100.00,100.00,97.89,99.58,95.83,99.17,99.59,99.59,99.17,99.17,99.83
42,98.55,91.67,97.37,96.30,98.17,92.86,99.09,99.09,99.09,99.09,99.09,99.64
43,99.07,88.89,96.15,95.83,97.73,92.00,98.88,98.88,98.88,98.88,98.88,99.55
44,99.12,100.00,100.00,98.32,98.36,96.67,98.92,99.46,99.46,98.92,98.92,99.78
45,96.33,79.17,87.64,98.06,94.80,96.15,96.59,98.29,98.29,97.73,97.73,95.48
46,88.82,86.21,92.25,98.26,90.35,96.55,87.68,92.72,92.72,87.68,87.68,91.84
47,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
48,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
49,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
50,98.37,91.30,96.00,96.15,97.49,92.59,98.02,98.51,98.51,98.02,98.02,99.40
