"sep=,"
Tyrimo_failai/RNN_math_text_problems(50)/Text_problems.txt
Target file,Tyrimo_failai/RNN_math_text_problems(50)/Gemini_Answers_2024_05_21_10_07_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,95.30,94.41,99.51,100.00,96.98,100.00,95.21,97.36,97.36,95.27,95.27,90.15
Averages,94.60,91.10,93.71,95.03,94.34,94.14,94.56,95.04,95.04,94.56,94.56,94.22
1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
3,97.73,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
4,98.51,95.83,97.65,100.00,98.56,100.00,99.06,99.53,99.53,99.06,99.06,91.53
5,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
6,99.01,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
7,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
9,97.01,96.00,97.87,100.00,97.12,100.00,97.17,98.10,98.10,97.17,97.17,94.87
10,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
11,95.68,91.67,95.97,97.89,95.02,95.83,96.43,96.86,96.86,96.43,96.43,95.78
12,97.96,94.74,96.56,100.00,98.04,100.00,98.72,99.35,99.35,98.72,98.72,92.43
13,99.34,91.30,98.33,97.98,98.32,96.00,99.17,99.17,99.17,99.17,99.17,99.67
14,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
15,97.92,80.95,92.00,93.64,95.30,88.00,97.37,98.01,98.01,97.37,97.37,99.21
16,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
17,99.44,100.00,100.00,98.13,98.95,96.30,99.31,99.65,99.65,99.31,99.31,99.86
18,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
19,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
20,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
21,99.22,88.24,98.11,95.83,98.04,92.00,99.03,99.03,99.03,99.03,99.03,99.61
22,98.39,100.00,98.33,100.00,98.51,100.00,99.02,99.51,99.51,99.02,99.02,99.80
23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
24,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
25,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
26,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
27,97.09,96.15,98.74,100.00,97.86,100.00,97.20,98.58,98.58,97.20,97.20,98.51
28,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
29,95.04,87.50,96.48,96.08,95.96,92.31,94.78,96.89,96.89,94.78,94.78,94.28
30,92.74,87.50,94.14,100.00,94.85,100.00,92.16,95.92,95.92,92.16,92.16,81.43
31,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
32,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
33,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
34,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
35,97.92,77.78,92.00,97.98,96.05,96.00,97.44,98.70,98.70,97.44,97.44,99.49
36,97.53,76.47,88.89,96.23,93.94,92.59,97.01,97.01,97.01,97.01,97.01,98.81
37,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
38,85.14,68.75,84.89,92.93,86.49,86.36,83.33,88.50,88.50,83.33,83.33,78.58
39,93.38,88.00,95.58,100.00,92.61,100.00,92.45,95.61,95.61,92.45,92.45,93.59
40,97.00,80.95,77.78,100.00,93.67,100.00,96.30,97.50,97.50,96.30,96.30,96.57
41,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
42,97.81,84.00,94.74,92.38,96.30,85.71,97.27,98.17,98.17,97.27,97.27,99.27
43,99.08,94.44,96.08,100.00,98.31,100.00,98.89,99.44,99.44,98.89,98.89,99.10
44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,97.65,83.33,95.47,96.43,95.24,93.10,97.10,97.45,97.45,97.10,97.10,99.13
47,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
48,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
49,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
50,99.18,91.30,96.00,96.15,97.98,92.59,99.00,99.00,99.00,99.00,99.00,99.60
