"sep=,"
Tyrimo_failai/RNN_simple_math_problems(50)/Simple_math_problems.txt
Target file,Tyrimo_failai/RNN_simple_math_problems(50)/GPT4o_Answers_2024_05_22_15_18_18.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,91.51,64.97,97.50,87.64,88.56,77.27,90.73,92.41,92.41,92.25,92.25,88.57
Averages,89.43,69.91,80.34,92.17,83.32,86.04,89.27,91.03,91.03,89.76,89.76,96.06
1,90.91,71.43,83.33,92.86,76.47,86.67,88.89,88.89,88.89,88.89,88.89,91.81
2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
4,76.92,33.33,50.00,82.50,76.92,70.00,80.95,82.93,82.93,80.95,80.95,93.19
5,96.43,62.50,77.15,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
6,84.62,33.33,50.00,77.15,70.59,62.50,80.00,84.21,84.21,80.00,80.00,93.78
7,84.21,100.00,100.00,100.00,96.30,100.00,93.33,96.55,96.55,93.33,93.33,98.67
8,92.00,100.00,100.00,88.95,86.49,80.00,90.00,92.31,92.31,90.00,90.00,96.95
9,85.71,71.43,83.33,81.82,64.71,69.23,83.33,83.33,83.33,83.33,83.33,93.33
10,95.83,71.43,88.89,92.31,89.47,85.71,95.00,95.00,95.00,95.00,95.00,98.00
11,70.37,37.50,54.77,78.45,61.90,63.16,65.22,68.18,68.18,65.22,65.22,87.33
12,78.13,87.50,93.54,87.50,82.61,77.78,80.00,87.50,87.50,84.00,84.00,95.06
13,96.30,75.00,85.71,96.82,90.48,93.75,95.45,95.45,95.45,95.45,95.45,98.18
14,92.59,75.00,85.71,90.95,80.95,83.33,90.91,90.91,90.91,90.91,90.91,96.36
15,90.48,71.43,83.33,88.07,75.00,78.57,88.24,88.24,88.24,88.24,88.24,91.96
16,90.00,66.67,80.18,94.12,82.61,88.89,88.00,91.67,91.67,88.00,88.00,96.73
17,81.82,28.57,44.72,90.37,77.78,82.35,84.21,84.21,84.21,84.21,84.21,92.43
18,86.96,50.00,66.67,90.95,72.22,83.33,84.21,84.21,84.21,84.21,84.21,94.61
