"sep=,"
Tyrimo_failai/RNN_simple_math_problems(50)/Simple_math_problems.txt
Target file,Tyrimo_failai/RNN_simple_math_problems(50)/Gemini_Answers_2024_05_22_15_18_18.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,93.30,67.95,98.43,95.78,91.23,91.89,93.02,94.72,94.72,94.72,94.72,87.80
Averages,91.66,74.65,84.20,94.47,88.60,90.15,92.02,93.80,93.80,92.41,92.41,97.17
1,90.91,71.43,83.33,96.61,90.91,93.33,88.89,91.43,91.43,88.89,88.89,91.21
2,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
3,96.43,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
4,84.00,50.00,66.67,85.20,73.68,73.68,80.95,85.00,85.00,80.95,80.95,94.09
5,96.30,71.43,83.33,96.61,92.68,93.33,95.45,97.67,97.67,95.45,95.45,99.09
6,69.23,40.00,57.74,61.72,55.56,44.44,70.00,70.00,70.00,70.00,70.00,88.00
7,78.95,66.67,80.00,90.91,76.92,83.33,80.00,85.71,85.71,80.00,80.00,94.46
8,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
9,77.27,44.44,61.72,72.73,58.82,57.14,72.22,77.78,77.78,77.78,77.78,91.11
10,92.31,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
11,81.48,44.44,61.72,85.75,72.73,75.00,78.26,82.61,82.61,82.61,82.61,93.04
12,89.29,87.50,93.54,93.54,88.37,87.50,91.30,93.33,93.33,91.30,91.30,97.35
13,92.86,75.00,85.71,96.82,90.48,93.75,95.45,95.45,95.45,95.45,95.45,98.18
14,92.86,66.67,80.18,97.01,88.37,94.12,91.30,93.33,93.33,91.30,91.30,97.35
15,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
16,93.33,66.67,80.18,97.18,86.96,94.44,92.00,95.83,95.83,92.00,92.00,98.40
17,91.30,66.67,80.00,96.82,86.49,93.75,90.00,92.31,92.31,90.00,90.00,96.95
18,82.61,50.00,66.67,90.95,72.22,83.33,84.21,84.21,84.21,84.21,84.21,91.02
19,95.45,66.67,87.50,93.33,88.89,87.50,94.74,94.74,94.74,94.74,94.74,97.89
20,83.33,100.00,100.00,96.08,96.00,92.31,92.86,96.30,96.30,92.86,92.86,97.86
21,92.31,100.00,100.00,100.00,94.74,100.00,90.91,95.24,95.24,90.91,90.91,98.18
22,86.67,50.00,66.67,94.87,86.96,90.00,92.31,96.00,96.00,92.31,92.31,97.69
23,92.00,71.43,83.33,97.01,92.31,94.12,95.24,97.56,97.56,95.24,95.24,98.41
24,91.67,71.43,83.33,90.37,81.08,82.35,90.00,92.31,92.31,90.00,90.00,96.95
