"sep=,"
Tyrimo_failai/RNN_text_problems_with_missing_numbers(50)/Text_problems_with_missing_numbers.txt
Target file,Tyrimo_failai/RNN_text_problems_with_missing_numbers(50)/GPT4o_Answers_2024_05_20_18_34_11.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,98.50,94.63,99.54,93.68,98.45,87.76,98.45,98.88,98.88,98.76,98.76,90.41
Averages,98.38,93.92,97.92,98.12,97.84,96.37,98.29,98.76,98.76,98.41,98.41,95.74
1,91.92,79.59,93.51,90.05,92.69,81.82,91.70,94.14,94.14,91.70,91.70,93.15
2,98.98,100.00,99.68,100.00,99.13,100.00,99.14,99.57,99.57,99.14,99.14,97.62
3,94.64,81.08,89.95,98.13,94.05,96.30,94.48,96.34,96.34,94.48,94.48,90.30
4,97.39,88.24,95.94,100.00,95.60,100.00,96.72,97.27,97.27,97.27,97.27,92.09
5,96.51,93.33,98.79,94.16,95.86,88.89,96.28,97.38,97.38,96.65,96.65,93.55
6,96.18,94.29,98.90,96.92,96.73,93.94,96.14,97.61,97.61,96.57,96.57,91.39
7,99.19,94.44,98.81,98.26,97.98,96.55,98.99,98.99,98.99,98.99,98.99,95.56
8,99.12,98.15,98.34,100.00,98.91,100.00,98.92,99.46,99.46,98.92,98.92,97.34
9,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
10,99.60,100.00,100.00,100.00,99.26,100.00,99.51,99.75,99.75,99.51,99.51,95.69
11,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
12,98.73,90.63,95.37,96.30,96.84,92.86,98.43,98.43,98.43,98.43,98.43,92.67
13,99.15,91.67,96.89,98.47,97.93,96.97,98.97,98.97,98.97,98.97,98.97,90.56
14,98.77,98.00,99.23,98.26,98.62,96.55,98.78,99.24,99.24,98.78,98.78,96.77
15,98.25,94.12,97.87,96.67,96.24,93.55,97.78,98.51,98.51,97.78,97.78,96.83
16,98.94,100.00,99.81,100.00,98.46,100.00,98.70,99.34,99.34,98.70,98.70,92.21
17,99.62,97.37,99.03,98.26,99.06,96.55,99.53,99.53,99.53,99.53,99.53,99.81
18,98.21,90.74,97.89,98.26,97.75,96.55,98.13,98.88,98.88,98.88,98.88,98.87
19,99.07,97.22,98.70,95.25,97.63,90.91,98.82,98.82,98.82,98.82,98.82,90.66
20,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
21,99.44,93.62,98.73,100.00,98.60,100.00,99.30,99.30,99.30,99.30,99.30,98.14
22,99.44,97.96,99.35,98.43,99.13,96.88,99.31,99.48,99.48,99.31,99.31,96.33
23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
24,99.35,90.14,98.86,97.22,98.58,94.59,99.22,99.37,99.37,99.37,99.37,90.29
25,99.77,96.55,99.38,96.77,99.42,93.75,99.71,99.71,99.71,99.71,99.71,99.88
26,99.65,95.24,98.91,98.37,99.13,96.77,99.57,99.57,99.57,99.57,99.57,97.39
27,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
28,99.38,96.00,99.13,100.00,99.21,100.00,99.61,99.61,99.61,99.61,99.61,98.74
29,99.75,100.00,100.00,96.97,99.38,94.12,99.69,99.69,99.69,99.69,99.69,99.88
30,97.69,91.67,94.90,96.30,96.70,92.86,97.10,98.18,98.18,97.83,97.83,96.24
31,99.57,100.00,100.00,96.00,98.93,92.31,99.47,99.47,99.47,99.47,99.47,99.79
32,95.51,88.89,94.88,96.67,95.63,93.55,95.48,97.19,97.19,95.48,95.48,90.57
33,96.82,95.45,96.27,96.72,96.59,93.55,96.84,97.80,97.80,96.84,96.84,92.15
34,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
35,98.92,97.67,98.76,98.20,98.67,96.43,98.68,99.12,99.12,99.12,99.12,98.80
36,97.28,86.67,97.10,96.30,96.19,92.86,96.60,97.59,97.59,96.60,96.60,92.28
37,95.78,79.31,89.09,94.87,92.72,90.00,95.45,96.58,96.58,96.21,96.21,89.81
38,98.92,92.68,97.86,98.32,97.98,96.67,98.66,98.99,98.99,98.66,98.66,92.24
39,96.79,76.79,96.23,100.00,98.68,100.00,98.95,99.21,99.21,98.95,98.95,98.46
40,95.58,83.72,96.14,96.92,94.07,93.94,95.31,96.06,96.06,95.31,95.31,95.82
41,99.25,94.92,96.65,98.32,98.30,96.67,99.08,99.23,99.23,99.08,99.08,91.52
42,99.39,100.00,100.00,100.00,98.89,100.00,99.26,99.63,99.63,99.26,99.26,94.04
43,98.65,88.24,97.14,96.55,97.24,93.33,98.35,98.90,98.90,98.90,98.90,99.67
44,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
45,99.15,96.97,99.07,100.00,98.92,100.00,99.47,99.47,99.47,99.47,99.47,96.56
46,99.03,97.50,99.27,100.00,98.99,100.00,99.19,99.39,99.39,99.19,99.19,99.76
47,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
48,99.67,94.12,99.20,98.26,99.19,96.55,99.60,99.60,99.60,99.60,99.60,99.84
49,91.79,83.87,93.92,100.00,90.97,100.00,91.19,94.23,94.23,92.45,92.45,90.09
50,98.39,89.29,96.64,96.00,97.26,92.31,98.64,98.64,98.64,98.64,98.64,83.81
