"sep=,"
Tyrimo_failai/RNN_text_problems_with_missing_numbers(50)/Text_problems_with_missing_numbers.txt
Target file,Tyrimo_failai/RNN_text_problems_with_missing_numbers(50)/Gemini_Answers_2024_05_21_10_07_51.txt

,levenshtein,jaccard,cosine,npm_cosine,npm_diceCoefficient,npm_jaccardIndex,npm_levenshtein,npm_lcs,npm_longestCommonSubsequence,npm_mlcs,npm_metricLcs,npm_jaroWinkler
Files,98.24,94.38,99.05,89.24,97.82,79.63,98.17,98.71,98.71,98.70,98.70,90.31
Averages,98.11,94.02,97.82,97.32,97.30,94.88,98.01,98.57,98.57,98.19,98.19,96.22
1,91.92,80.00,93.86,94.75,92.23,90.00,92.04,94.37,94.37,92.73,92.73,90.01
2,98.63,100.00,99.36,98.32,98.27,96.67,98.71,99.14,99.14,98.71,98.71,95.87
3,97.21,88.89,93.05,90.58,96.51,82.76,97.70,98.27,98.27,97.70,97.70,99.31
4,96.52,90.91,95.44,100.00,95.03,100.00,96.17,97.25,97.25,96.72,96.72,91.90
5,94.67,91.11,97.83,92.55,94.30,86.11,94.72,96.21,96.21,95.85,95.85,93.17
6,96.18,94.29,97.04,98.37,95.67,96.77,96.14,97.41,97.41,97.00,97.00,92.43
7,99.59,97.22,98.80,100.00,98.99,100.00,99.50,99.50,99.50,99.50,99.50,93.54
8,99.56,100.00,99.58,100.00,99.46,100.00,99.46,99.73,99.73,99.46,99.46,99.78
9,98.96,100.00,100.00,100.00,98.03,100.00,98.70,99.35,99.35,98.70,98.70,95.07
10,98.80,97.22,99.37,100.00,99.50,100.00,99.01,99.50,99.50,99.01,99.01,99.80
11,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
12,97.89,87.88,96.28,94.56,96.84,89.66,97.91,98.43,98.43,98.43,98.43,93.89
13,98.87,91.49,97.28,98.47,98.27,96.97,98.97,99.31,99.31,98.97,98.97,93.58
14,98.78,98.00,99.74,94.93,97.58,90.32,98.50,99.09,99.09,98.50,98.50,99.64
15,97.66,94.12,97.87,95.09,95.13,90.63,97.04,98.14,98.14,97.78,97.78,96.68
16,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
17,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
18,98.81,96.15,97.92,91.54,97.75,84.38,98.51,98.88,98.88,98.88,98.88,93.10
19,98.14,89.47,97.26,96.82,96.45,93.75,97.65,98.24,98.24,98.24,98.24,90.13
20,98.21,93.75,97.55,93.94,97.61,88.57,98.53,99.08,99.08,98.90,98.90,99.63
21,99.44,93.62,98.73,100.00,98.60,100.00,99.30,99.30,99.30,99.30,99.30,98.14
22,99.16,95.92,98.37,95.25,98.43,90.91,98.96,99.13,99.13,98.96,98.96,96.18
23,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
24,98.84,88.89,98.86,94.63,97.96,89.74,98.60,99.06,99.06,98.75,98.75,90.79
25,98.84,96.55,99.38,95.25,97.69,90.91,98.57,99.14,99.14,98.57,98.57,99.66
26,97.91,93.02,97.81,98.37,96.55,96.77,97.45,98.28,98.28,97.45,97.45,94.64
27,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
28,99.69,100.00,99.57,98.37,99.21,96.77,99.61,99.61,99.61,99.61,99.61,99.84
29,98.77,95.00,98.44,95.53,97.65,91.43,98.75,98.91,98.91,98.75,98.75,95.62
30,96.57,94.29,97.50,92.59,93.82,86.21,95.71,97.47,97.47,96.43,96.43,98.99
31,99.13,100.00,99.54,100.00,99.20,100.00,99.47,99.73,99.73,99.47,99.47,99.89
32,97.46,88.24,94.75,94.93,95.24,90.32,96.88,97.89,97.89,96.88,96.88,92.60
33,96.18,91.11,95.90,95.09,96.03,90.63,95.65,97.23,97.23,97.23,97.23,91.94
34,99.60,100.00,100.00,100.00,99.27,100.00,99.51,99.76,99.76,99.51,99.51,95.56
35,97.86,95.35,98.13,98.20,96.26,96.43,97.83,98.47,98.47,97.83,97.83,95.48
36,97.79,83.87,95.60,94.56,94.74,89.66,97.22,97.56,97.56,97.22,97.22,97.52
37,98.19,92.59,95.36,100.00,97.32,100.00,98.48,98.86,98.86,98.48,98.48,93.78
38,98.93,100.00,100.00,98.37,98.00,96.77,98.68,99.34,99.34,98.68,98.68,99.74
39,97.00,78.18,96.51,100.00,98.94,100.00,99.47,99.47,99.47,99.47,99.47,98.57
40,97.48,86.05,96.93,96.92,95.48,93.94,96.88,97.46,97.46,97.27,97.27,96.46
41,98.76,90.00,96.62,96.67,97.21,93.55,98.46,98.77,98.77,98.46,98.46,93.41
42,99.70,100.00,100.00,100.00,99.45,100.00,99.63,99.82,99.82,99.63,99.63,96.49
43,99.55,93.94,98.57,96.55,98.90,93.33,99.45,99.45,99.45,99.45,99.45,99.78
44,98.43,100.00,100.00,98.47,97.09,96.97,98.09,99.03,99.03,98.09,98.09,99.62
45,97.07,96.88,97.68,96.43,96.81,93.10,96.86,97.88,97.88,96.86,96.86,98.40
46,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
47,99.56,96.97,98.56,98.26,98.91,96.55,99.46,99.46,99.46,99.46,99.46,99.78
48,99.67,100.00,99.60,98.32,99.19,96.67,99.60,99.60,99.60,99.60,99.60,98.22
49,86.41,74.29,85.98,95.09,83.44,90.63,84.62,87.80,87.80,85.21,85.21,88.45
50,97.33,85.71,94.44,97.98,95.89,96.00,97.96,97.96,97.96,97.96,97.96,83.94
